"Timestamp","Q1.1 Respondent's initials:","Q1.2 Paper's title","Q1.3 Paper's first author's family name","Q1.4 Publication year:","Q1.5 Publication journal:","Q1.6 Is paper self-describing as containing a meta-analysis (or meta-regression) or actually using meta-analysis/regression approach?","Comment for Q1.6","Q1.7. Is the study's main focus on comparative physiology?","Comment for Q1.7","Q1.8 Paper doi:","Q2.1 What is the type of effect sizes used?","Please also provide a quick note about what the effect size being used is, even if not ""other"". Comment for Q2.1","Q2.2 Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent) ","Comment for Q2.2","Q2.3 Types of statistical models used, as mentioned in the paper or inferred from the descriptions (vote counting, random/fixed MA, MR, hierarchical, etc.)","Comment for Q2.3","Q2.4 Is this a formal meta-analysis (weighted model)?  ","Comment for Q2.4","Q2.5 Does the paper mention (or model) any issues related to data non-independence arising from multiple effect sizes obtained in single studies and/or from phylogenetic relatedness? ","Comment for Q2.5 ","Q2.6 Does the paper test/account for publication bias ?","Comment for Q2.6","Q2.7 Does the paper includes sensitivity analyses?","Comment for Q2.7","Q2.8 Does the paper report heterogeneity values? ","Comment for Q2.8","Q3.1 Does the paper report full list of included studies? ","Comment for Q3.1","Q3.2 What software was used for analyses?","Comment for Q3.2","Q3.3 Is the analysis code provided?","Comment for Q3.3","Q3.4 Is the data provided?","Comment for Q3.4","Q3.5 Where is the data ""hosted""?","Q3.5 Comment","Q3.6 If the data is available, is it ""useable""?","Q3.6 Comments"
"2021/06/02 12:16:15 PM GMT+10","PP","Meta-analysis of factors associated with omega-3 fatty acid contents of wild fish","Gladyshev","2018","Reviews in Fish Biology and Fisheries","yes","","yes (i.e., focused only on physiological traits very clearly)","Focuses on omega-3 fatty acid contents in fish","https://doi.org/10.1007/s11160-017-9511-0","unclear/other (add comment) - Describe effect size","""EPA and DHA contents (mg g-1of WM) and their sum (EPA + DHA) were used as the response variables"", which were ln +1 transformed. ","unclear/other (add comment)","Does not apply here because the response was already normalised per gram of wet mass. ","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","They used a partial redundancy analyses, and ""Standard errors (SE), Kolmogorov–Smirnov one-sample test for normality DK-S, Pearson’s correlation coefficient r, Kruskal–Wallis H test, and one-way ANOVA with Fisher’s LSD post hoc tests were calculated conventionally using STATISTICA software"", which suggests some linear regressions as well. ","unweighted model","They performed partial redundancy analyses and linear regressions so the models were unweighted.","unclear/other/not mentioned","They included ""phylogeny"" (the Order of the species), ""type of feeding"" and ""habitats"" as dummy variables; but it was not to account for non-independence. Rather, they wanted to address whether the fatty acid content varied with these moderators. ","no","","no","","N/A (e.g. they conducted unweighted meta-analysis)","They performed partial redundancy analyses and linear regressions so the models were unweighted.","yes","List of included studies is presented in Table 1","Other R package;unclear/other (add comment)","R Vegan (partial redundancy analysis) and STATISTICA for ""Standard errors (SE), Kolmogorov–Smirnov one-sample test for normalityDK-S, Pearson’s correlationcoefficientr, Kruskal–WallisHtest, and one-wayANOVA with Fisher’s LSD post hoc tests""","no","No code provided","yes","The data is provided in Table 1","Other (Comment)","The data is provided in Table 1","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","The data is provided in Table 1 in the main text, which makes it unusable. The ""effect sizes"" are provided though"
"2021/06/02 12:32:09 PM GMT+10","PP","Intergenerational effects of nutrition on immunity: a systematic review and meta-analysis","Grueber","2018","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","They investigate intergenerational effects of diet on immunity","10.1111/brv.12387","SMD (d, g, etc.)","They ""used the effect size Hedge’s d (hereafter d), which is one of the most widely used effect sizes for quantifying the difference in population means of two treatment groups in an experiment or clinical trial ""","yes (if you select ""yes"", please describe in comment)","They used the % of energt from protein in the diet, and the energy content of the diet as moderators","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They used study ID and effect size ID as random effects. They also "" identified a number of  sources of non-independence among our effect sizes, and dealt with these issues using recommended procedures (detailed in Appendix S3.2)."". Briefly, they correlated dependent effect sizes measured on the same cohorts; used a variance-covariance matrix of shared treatments, and used study ID along with a residual random term. ","yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test","","no","","yes","","yes","The list of included studies is presented in Table 1 and cited in the Reference section. ","R metafor","","yes","""Our input data file, along with the associated code for conducting all analyses, are provided  as online Supporting  Information,  Appendix S1 and S2, respectively"" ","yes","""Our input data file, along with the associated code for conducting all analyses, are provided  as online Supporting  Information,  Appendix S1 and S2, respectively"" ","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 1:34:49 PM GMT+10","PP","Developmental temperatures and phenotypic plasticity in reptiles: a systematic review and meta-analysis","Noble","2017","Biological Reviews","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","","10.1111/brv.12333","SMD (d, g, etc.)","""we calculated unbiased standardized mean differences, Hedges’ g (Borensteinet al., 2009), as our ‘effect size’""","yes (if you select ""yes"", please describe in comment)","They used treatment mid-temperature and temperature difference as moderators in the models. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They included phylogeny, species ID and study ID as random effects in their models. They also tried to account for within-study covariance but this was computationally prohibitive. Thus, they conducted sensitivity analyses using data subsets.  ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","They explored the influence of different methodological moderators; and performed analyses with data subsets","yes","","yes","Included studies are cited in the supplement and in the reference section","R metafor;R MCMCglmm","They used MCMCglmm for the analyses and metafor for some of the publication bias analyses (trim-and-fill)","yes","""Code and data can be accessed from Noble, Stenhouse & Schwanz (2017b)"" ; which relates to: ""Noble, D. W. A., Stenhouse, V. & Schwanz, L. E. (2017b). Early thermal environments and developmental plasticity in reptiles: a systematic review and meta-analysis. Available at osf.io/zbgss"" ","yes","""Code and data can be accessed from Noble, Stenhouse & Schwanz (2017b)"" ; which relates to: ""Noble, D. W. A., Stenhouse, V. & Schwanz, L. E. (2017b). Early thermal environments and developmental plasticity in reptiles: a systematic review and meta-analysis. Available at osf.io/zbgss"" ","Other (Comment)","OSF","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 1:53:36 PM GMT+10","PP","A model to estimate seabird field metabolic rates","Dunn","2018","Biology Letters","yes","","yes (i.e., focused only on physiological traits very clearly)","The study focuses on field metabolic rate","http://dx.doi.org/10.1098/rsbl.2018.0190","unclear/other (add comment) - Describe effect size","They used field metabolic rate (FMR) as their response variable. ","yes (if you select ""yes"", please describe in comment)","They used body mass as a covariate in their analyses, which is stated to account for ""around 95% of within-class variation [1]"" in their introduction. Including environmental temperatures, which do influence metabolic rate, should have been included as well. ","meta-regression models (i.e., a multilevel or random effect model with moderators)","They performed hierarchical meta-regressions but it seems that the estimates were unweighted (e.g. no sampling variance provided in the published data; no mention in the text)","unweighted model","They performed hierarchical meta-regressions but it seems that the estimates were unweighted (e.g. no sampling variance provided in the published data; no mention in the text)","paper explicitly models non-independence (at least some of it)","They used phylogeny, species ID, colony ID as random effects. I'm pretty sure MCMCglmm also uses an observation-level random effect by default as well. ","no","","no","","N/A (e.g. they conducted unweighted meta-analysis)","Their meta-analysis was unweighted","unclear/other (add comment)","The list of included studies is provided in the published dataset in Figshare. I doubt the authors of the original studies were properly acknowledged. ","R MCMCglmm","","no","No code provided","yes","Meta-analysis data and phylogeny used are publicly hosted on figshare. The data are accessible at http://dx.doi.org/10.6084/m9.figshare.4765906 [30] and the phylogeny is accessible at http://dx.doi.org/10.6084/m9.figshare.5972692 ","Figshare","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/02 2:50:06 PM GMT+10","SB","Meta-analysis reveals weak associations between intrinsic state and personality","Niemela","2018","Proceedings of the Royal Society B","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","Focuses on physiological traits (""internal state variables"") that correlate with behaviours","http://dx.doi.org/10.1098/rspb.2017.2823","correlation (r)","""squared average absolute magni-tude of the among-individual correlation""","no","","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level)","","weighted model","""We controlled for sampling variance in all models as doing so controls for statistical noise (e.g. differences in sample size across estimates) and thereby greatly increases the precision of estimated effect size""","paper explicitly models non-independence (at least some of it)","","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test","","no","","yes","","unclear/other (add comment)","Doesn't list how many papers included (146 coefficients), has additional references in Supplementary (but some are duplicates)","R MCMCglmm","","no","","yes","Supplementary materials","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","Data includes only effect size (r) and error. No raw data provided and in pdf format"
"2021/06/02 5:24:56 PM GMT+10","SB","Body temperature stability in the whale shark, the world’s largest fish","Nakamura","2020","Journal of Experimental Biology","no (add details to comment)","comparative analysis","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","Investigated whale shark temperature in relation to behaviour, but also conducted comparative analysis of whale shark heat transfer coefficients to other fish species to understand relationship of heat transfer coefficient and body size","10.1242/jeb.210286","unclear/other (add comment) - Describe effect size","Paper doesn't state any of these options. Unclear what the effect size used was. ""We set the logarithm of HTC as a response variable in the model, and the logarithm of body mass and the categories of ectothermy or endothermy as explanatory variables""","no","","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","GLMM and likelihood ratio test","unclear/other model (add comment)","Does not state whether weighted or not and no code provided","unclear/other/not mentioned","Not mentioned","no","","no","","unclear/other (add comment)","Unknown if model is weighted","yes","Assuming Table 3 includes all published studies, all are reported in main references","Other R package","lme4 package","no","","yes","Observational data collected from whale sharks included in supplementary materials, and some data for model included in Table 3, but missing some elements (not raw data)","Online Supplemental Material","","Other (Comment)","Whale shark observational raw data provided in csv; model data provided in table in main text (pdf) and not usable"
"2021/06/03 10:04:03 AM GMT+10","PP","A review of urban impacts on avian life-history evolution: Does city living lead to slower pace of life?","Sepp","2018","Global Change Biology","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","Physiological traits are just a part of their analyses, where they compare urban and rural birds in terms of pace of life. Note that the meta-analysis was performed only on survival and clutch size, whereas oxidative status, immunity, body size and stress levels were analysed qualitatively","10.1111/gcb.13969","unclear/other (add comment) - Describe effect size","They used the absolute risk reduction as their effec size","no","Their effect size compare urban vs. non-urban birds in terms of survival and clutch size. However, they did not account for the degree of urbanization in their analyses. They did mention that they classified these categories ""according to proportion of impervious surface levels"", which could have been modelled. ","vote counting;multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","They also qualitatively describe studies on immunocompetence, oxidative status, body size and stress levels between urban and rural birds; but could not analyse this formally in a meta-analysis because of the low sample size. They report the number of ""urban higher"", ""no difference"" and ""urban lower"" across the different studies so I would consider this as a ""vote counting"" ","weighted model","Thet state that ""A Bayesian framework was chosen so that we could easily incorporate the length of the study into the model, while still modelling the SE of the effects properly"" so I assume that they weighted their estimates. ","paper explicitly models non-independence (at least some of it)","They include phylogeny and study ID as random terms but do not account for other sources of non-independence. ","yes, it uses graphical tests (e.g., funnel plot)","","no","","no","","yes","Included studies are in Table 2, and cited in the References section","Other R package","They used Rstan ","yes","Their code is presented in supplementary materials (in a word document). It is not cited in the main text. ","yes","Data for survival and clutch size analyses are presented in Supplement (word document). ","Online Supplemental Material","","Other (Comment)","The data is in a table in a word document (supplement). The raw means are not directly presented, but the information presented may be used to reproduce the results (i.e. differences are presented, which are used to calculate the effect sizes; but not the raw means to calculate those differences). "
"2021/06/03 10:42:48 AM GMT+10","PP","Resting vs. active: a meta-analysis of the intra- and inter-specific associations between minimum, sustained, and maximum metabolic rates in vertebrates","Auer","2017","Functional Ecology","yes","","yes (i.e., focused only on physiological traits very clearly)","The study focuses on metabolic rates","10.1111/1365-2435.12879","correlation (r)","They employed  ""Fisher’s r-to-z transformation to obtain unbiased estimates of effect sizes and sampling variances (Hedges & Olkin 1985)"". They specifically looked at intra-specific and inter-specific correlations between the type types of minimum and maximum metabolic rates. ","unclear/other (add comment)","This probably does not apply here as they already used a correlation between continuous variables as effect sizes. However, metabolic rates are highly temperature-dependent so it may have been useful to control for temperature-dependent effects. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They modelled phylogeny and study ID as random terms, but I am not sure they accounted for other sources of non-independence. They also state that they compiled data from different sources and some of the data may be duplicated; which constitutes a large source of non-independence that they discuss: ""Importantly, some studies may have included the same species data in their analyses (e.g., the data for passerines in Dutenhoffer & Swanson 1996 constitutes a subset of the dataset compiled by Rezende et al. 2002 for birds), and therefore some degree of pseudo-replication is expected between results. Because the degree of overlap between datasets varies from study to study and may not be readily removed without the raw data, we opted to include all analyses compiled for completeness. Nonetheless, the adjusted estimates and confidence intervals reported here must be interpreted with caution in light of this limitation""","yes, it uses graphical tests (e.g., funnel plot)","","no","","no","","yes","References are provided in Appendix S2 and S3","R metafor","","no","No code provided","yes","""Data and associated references are provided in Appendices S2 and S3"" ","Online Supplemental Material","","Other (Comment)","The data is provided in a word table in Appendix S2 and S3. However,  information to reproduce the results is missing (e.g. sampling variance of the r correlation coefficient; Fisher's Z)"
"2021/06/03 11:05:05 AM GMT+10","PP","Metabolic rates, and not hormone levels, are a likely mediator of between-individual differences in behaviour: a meta-analysis","Holtmann","2017","Functional Ecology","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","The study investigates the repeatability of metabolic rates, hormone levels and behaviour. Most of it is related to physiology but this is not the sole focus (behaviour is also a response that is investigated by itself). ","10.1111/1365-2435.12779","correlation (r);unclear/other (add comment) - Describe effect size","They used Fisher's Z, which is a transformation of Pearson's r correlation coefficient. They also used Fisher's Z transformation for intra-class correlation coefficients (ICC). ","unclear/other (add comment)","Their effect sizes are already continuous so this question probably does not apply here. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They included effect size ID, species ID, group ID (as a surrogate for study ID) as random effects and fitted a variance-covariance matrix to account for the correlation between measurements made on the same groups of birds. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test","","yes","They investigated whether their results varied with the type of hormones, metabolic rates and behavioural traits investigated. They also included significant fixed effects in the meta-regressions. Finally, they did analyses with subsets of the data. ","yes","","yes","List of included studies is in Supplement","R metafor;R MCMCglmm","Most of their analyses were done with MCMCglmm, but they also did some analyses with metafor. ","no","No code provided","yes","""All data (including data sets for hormone levels, metabolic rates and behavioural traits) used in this manuscript are present in the manuscript or can be found in its Supporting Information"" ","Online Supplemental Material","","Other (Comment)","Their data is published in Appendix (word document). Most of the data is presented, but some of the information needed to reproduce the results is missing (e.g. sampling variance of the effect size). "
"2021/06/03 11:34:09 AM GMT+10","PP","Sub-lethal effects on fish provide insight into a biologically-relevant threshold of hypoxia","Hrycik","2017","Oikos","yes","","yes (i.e., focused only on physiological traits very clearly)","The study investigate the effect of oxygen concentration on fish growth or consumption","https://doi.org/10.1111/oik.03678","SMD (d, g, etc.)","""We calculated a Hedge's g ES (Hedges and Olkin 1985) for each treatment–control pairing for both consumption and growth. Hedge's g compares the treatment effect to the control effect by correcting the calculated Cohen's d (Cohen 1977) ES for small sample size.""","unclear/other (add comment)","They haven't used the dissolved oxygen concentration difference between treatments as a moderator. However, they did investigate this by binning their effect size into increments of 1 mg/L of dissolved of oxygen. ","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","They did a set of analyses that, in my opinion, do not fit any of the categories above. First, they determined a dissolved oxygen (DO) threshold by binning the effect size by 1 mg/L DO increments and calculated the mean and CI for each bin. They also performed a ""mulitiple"" linear regression with different moderators to partition the phylogenetic variance. ","unweighted model","They used unweighted linear regressions. ","paper explicitly models non-independence (at least some of it)","They included phylogeny and study ID in their models but they didn't account for other sources of non-independence. Note that it is unclear whether they included study ID in all models; or only when estimate fail safe numbers. Note that they also did not account for non-independence when calculating the DO threshold (which was estimated through mean and confidence interval calculation; and not through a modelling approach). ","yes, it uses failsafe number","","no","","N/A (e.g. they conducted unweighted meta-analysis)","They performed unweighted linear regressions","yes","List of included studies is in Supplement. ","Other R package","They used the R packages ""MASS"" and ""PVR"" for their analyses","no","No code provided","yes","""Data available from the Dryad Digital Repository: <http://dx.doi.org/10.5061/dryad.td771> (Hrycik etal. 2016)""","Dryad","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/03 11:54:57 AM GMT+10","PP","Biological responses of sharks to ocean acidification","Rosa","2017","2017","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","They investigate how ocean acidification is associated with survival, growth, behaviour and physiology","http://dx.doi.org/10.1098/rsbl.2016.0796","Response Ratio (lnRR)","""The OA effect was calculated for each studied variable as the log-transformed response ratio (LnRR) – i.e., the ratio of the mean effect in the OA treatment to the mean effect in a control treatment "" ","no","Their effect size is dosage-dependent (different pH used in different experiments) but it was not tested. ","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)","","weighted model","","paper explicitly models non-independence (at least some of it)","They used a random effect meta-analysis with study ID as a random effect. However, they do not account for any other sources of non-independence. Note that they also excluded some observations during their data extraction when multiple traits were investigated within a study (""It is worth noting that when an experiment reported several response variables within the above-mentioned categories, we only included one response to avoid pseudoreplication [e.g., in the category “physiology”: oxygen consumption (metabolic) rates or ventilation rates, not both]"")","no","","no","","unclear/other (add comment)","They say that they used a Q-test for heterogeneity but the results aren't presented. ","yes","The list of included studies is presented in Table 1 and cited in the References section. ","R metafor","","no","No code provided","no","""Data accessibility. The meta-analysis methodology is provided in theelectronic supplementary material"" . The data is not provided. ","Other (Comment)","The data is not provided. ","Other (Comment)","The data is not provided"
"2021/06/03 12:07:53 PM GMT+10","PP","The effects of sex hormones on immune function: a meta-analysis","Foo","2017","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","The paper investigates the effect of sex hormones on immunity","https://doi.org/10.1111/brv.12243","correlation (r)","They used Fisher's Z, which is a transformation of Pearson's r correlation coefficient","unclear/other (add comment)","The effect size used is already on a continuous scale so I don't think it applies here","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They used phylogeny, study ID and effect size ID as random terms in their models. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","no","","yes","","yes","List of included studies are cited in the Supplement and in the References section","R metafor;R MCMCglmm","metafor was used for most of the analyses, and MCMCglmm was used for one of the publication bias analyses (i.e. generate meta-analytic residuals to estimate funnel plot asymmetries)","no","No code provided","no","They state that ""The final data set, including citations to the included studies, is uploaded as part of the online supporting information"". However, the Supporting Information does not include the data set. ","Other (Comment)","The data was not provided","Other (Comment)","The data was not provided"
"2021/06/03 12:27:14 PM GMT+10","PP","Effectiveness of baseline corticosterone as a monitoring tool for fitness: a meta-analysis in seabirds","Sorenson","2017","Oecologia","yes","","yes (i.e., focused only on physiological traits very clearly)","They investigated how baseline corticosterone levels correlate with fitness-related traits. ","10.1007/s00442-016-3774-3","correlation (r)","They used Fisher's Z, which is a transformation of Pearson's r correlation coefficient","unclear/other (add comment)","Their effect size is continuous so I don't think it applies here. Perhaps they could have controlled for the magnitude of doses used to calculate the correlation coefficients. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They included study ID, species ID and phylogeny as random terms in their models. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression)","","no","","no","","yes","List of included studies is presented in Supplement. However, they were not cited in the Reference section","R MCMCglmm","","no","No code provided","yes","""Our final dataset contained 31 published papers (Supplementary Material Ref. A1) and one unpublished dataset (K. Elliott, G. Anderson and T. Gaston, unpublished data from collabo-rators) representing 16 species, with between one and 13 studies published on each species (Supplementary Material Table A1)""","Online Supplemental Material","","Data is completely unusable (e.g., pdf) and has no indication of how effect sizes were created.","The data is in a PDF document and a lot of information is missing (e.g. sampling variance of the effect sizes, moderators...)"
"2021/06/03 1:36:59 PM GMT+10","PP","Meta-analysis indicates that oxidative stress is both a constraint on and a cost of growth","Smith","2016","Ecology and Evolution","yes","","yes (i.e., focused only on physiological traits very clearly)","They investigate the relationships between oxidative stress and growth","10.1002/ece3.2080","SMD (d, g, etc.)","They used Hedges' g (SMD). 
""To calculate effect sizes, the standardizedmean difference (Hedges’ d) was first calculated–this accounts for the use of different units (i.e., different redox biomarkers) between studies by dividing the raw difference by the within-group standard deviation."" ... ""With small within-study sample sizes, Hedges’d can beover-estimated, so to correct for this it was converted to Hedges’ g by multiplying by a correction factor calculated from the degrees of freedom (Cooper et al. 2009; Del Re 2013)""","unclear/other (add comment)","For studies manipulating growth rate and investigating the changes in oxidative stress; they accounted for ""dietary changes"", which correspond to the changes to ""protein and lipid composition of the diet"". For studies manipulating oxidative stress and investigating the changes in growth, they haven't included continuous moderators. There are also other variables that could have been included (e.g. initial body mass, or age for growth comparisons). ","meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","They included study ID, and taxonomic class as random effects. ","yes, it uses graphical tests (e.g., funnel plot)","","yes","They performed analyses with and without an outlier value. ","yes","","yes","The list of included publications is provided in Supplement. ","R metafor","","no","No code provided","yes","""A full list of studies included in both meta-analyses with the effect sizes that we calculated is provided in Tables S1 and S2. Further details, including effect size variances, have been archived on Dryad"" . The link to the Dryad data is https://datadryad.org/stash/dataset/doi:10.5061/dryad.th15b","Dryad","Data archived at https://datadryad.org/stash/dataset/doi:10.5061/dryad.th15b","Data is in appropriate format, but the raw data is not provided","Hedge's g and its variance is provided. However, the raw data used to calculate the effect sizes is not presented. "
"2021/06/03 6:26:50 PM GMT+10","SB","Are global warming and ocean acidification conspiring against marine ectotherms? A meta-analysis of the respiratory effects of elevated temperature, high CO2 and their interaction","Lefevre","2016","Conservation Physiology","yes","","yes (i.e., focused only on physiological traits very clearly)","""The objective of the present review is therefore to evaluate quantitatively the current knowledge on the effects of tempera-ture, CO2 and their possible interaction on MO2rest and AAS""","10.1093/conphys/cow009","correlation (r);Response Ratio (lnRR)","""For each dataset, the effect size was calculated as the log response ratio, lnRR, between the measured value (Y) of a given variable (MO2rest or AAS) in a control condition and an experimental condition""
""Data were divided into different groups of invertebrates and fish and plotted separately as a function of life stage, temperature, PCO2 in the experimental treatment and length of CO2 treatment, to investigate the degree of correla-tion (assessed by linear regression and Pearson’s r) between lnRR and these variables""","yes (if you select ""yes"", please describe in comment)","Temperature","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","pearson correlation","weighted model","","paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)","Paper appears to separate by taxonomic group and sampling method to account for some level of non-independence","no","","yes","Fisher's exact test","no","","yes","","unclear/other (add comment)","GraphPad Prism 6.07","no","","yes","https://academic.oup.com/conphys/article/4/1/cow009/2951330#supplementary-data","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes","There is missing data in the excel spreadsheet, but raw data is provided"
"2021/06/18 5:49:56 PM GMT+10","SB","A meta-analysis of human disturbance impacts onAntarctic wildlife","Coetzee","2015","Biological Reviews","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","Includes physiological traits, but involves other traits (behavioural and population)","10.1111/brv.12184","SMD (d, g, etc.)","hedges g","no","","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY);linear regression (including linear mixed-effects model)","Specifically states random-effects model, but also applies a maximum-likelihood variance estimator","weighted model","","paper only mentions non-independence (e.g., in limitations)","""Since we fitteda random-effects meta-analysis, we did not correct for phylogenetic non-independence""","yes, it uses graphical tests (e.g., funnel plot);unclear/other","""cumulative meta-analysis""","no","","yes","","yes","SI","R metafor;Other R package","es.compute package for hedges g","no","","no","","","","",""
"2021/06/18 6:35:15 PM GMT+10","SB","Effects of salinity changes on aquatic organisms in a multiple stressor context","Velasco","2019","Philosophical Transactions B","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1098/rstb.2018.0011","SMD (d, g, etc.)","hedges d","yes (if you select ""yes"", please describe in comment)","examined salinity, temperature, CO2, and pH among other moderators","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","unclear/other/not mentioned","not mentioned","yes, it uses graphical tests (e.g., funnel plot);yes, it uses failsafe number;yes, time-lag bias","time-lag bias from publication year in meta-regression","no","","no","","unclear/other (add comment)","hints there may be a list in the supplementary, but my computer doesn't know how to open the file","R metafor","","yes","R files provided in supplementary, but my computer cannot open the file. https://figshare.com/articles/dataset/SM5_from_Effects_of_salinity_changes_on_aquatic_organisms_in_a_multiple_stressor_context/7235819?backTo=/collections/Supplementary_material_from_Effects_of_salinity_changes_on_aquatic_organisms_in_a_multiple_stressor_context_/4274648","yes","SI https://dx.doi.org/10.6084/m9.figshare.c.4274648","Figshare","also online supplementary material","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/06/18 6:56:01 PM GMT+10","SB","Social status, immune response and parasitism in males: a meta-analysis","Habig","2015","Philosophical Transactions B","yes","","yes (i.e., focused only on physiological traits very clearly)","","10.1098/rstb.2014.0109","SMD (d, g, etc.)","Cohens d","no","","random-effects meta-analysis (i.e., intercept only model, but has a study random effect ONLY)","","weighted model","","paper only mentions non-independence (e.g., in limitations)","multivariate","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression)","","yes","""We applied random effects models andtests of significance using therma.mvfunction in themetaforpack-age"" p5","unclear/other (add comment)","""There  was  a  non-significant  trend  for  publication  biasfor this test, and the taxonomic group of the subjects explainedsignificant between-study heterogeneity and was included as amoderator variable"" p9","yes","cited in main text","R metafor","es.compute package for cohens d","no","","yes","SI (https://royalsocietypublishing.org/action/downloadSupplement?doi=10.1098%2Frstb.2014.0109&file=rstb20140109supp1.pdf) and Dryad (https://datadryad.org/stash/dataset/doi:10.5061/dryad.54s81)","Other (Comment)","SI and Dryad","Data is in appropriate format, but the raw data is not provided","have excel spreadsheet but layout contains lots of categorical text and missing data"
